infinitive	current	decision	final_gloss	agree_count	citation	confidence	sense_note
abajar	lower	keep	lower	3	everyday (3/3); https://es.wiktionary.org/wiki/abajar mover de posicion mas elevada a menos	high	
abalar	move	replace	hurl	2	https://es.wiktionary.org/wiki/abalar : arrojar lanzar (throw hurl); current move too vague	medium	morph kept move; rae+wikt cite hurl
abalizar	mark	keep	mark	3	https://es.wiktionary.org/wiki/abalizar : senalar con balizas (mark with buoys)	high	nautical sense
aballar	drive	keep	drive	3	https://es.wiktionary.org/wiki/aballar : llevar o conducir el ganado (drive cattle)	high	
abanar	fan	keep	fan	3	everyday (3/3); https://es.wiktionary.org/wiki/abanar abanicar cribar	high	
abanderar	champion	keep	champion	2	https://dle.rae.es/abanderar : ponerse al frente de una causa (champion lead a cause)	medium	rae checker preferred nautical register-under-flag sense
abetunar	polish	keep	polish	3	https://es.wiktionary.org/wiki/abetunar : cubrir con betun (coat polish)	high	
abigarrar	variegate	keep	variegate	3	https://es.wiktionary.org/wiki/abigarrar : dar varios colores mal combinados (variegate)	high	make gaudy synonym
abocar	pour	keep	pour	3	https://es.wiktionary.org/wiki/abocar : volcar el contenido de un recipiente en otro (pour decant)	high	
abocinar	flare	keep	flare	3	https://es.wiktionary.org/wiki/abocinar : dar forma de bocina (flare tube mouth)	high	
abordar	tackle	replace	board	2	https://es.wiktionary.org/wiki/abordar : tocar una embarcacion con otra (board a vessel primary)	high	morph+rae cite board primary; wikt kept tackle figurative
aborregar	curdle	replace	become fleecy	3	https://dle.rae.es/aborregarse : cielo cubrirse de nubes a modo de vellones (sky becoming fleecy)	high	current curdle wrong; sheep/borrego cloud sense
abotargar	bloat	keep	bloat	3	https://dle.rae.es/abotargarse : hincharse abotagarse (become bloated)	high	
abovedar	vault	keep	vault	3	https://es.wiktionary.org/wiki/abovedar : cubrir con boveda (cover with vault)	high	
abrevar	water	keep	water	3	https://es.wiktionary.org/wiki/abrevar : proporcionar agua para beber al ganado (water animals)	high	water animals
acendrar	purify	keep	purify	3	https://es.wiktionary.org/wiki/acendrar : depurar purificar (purify refine metals)	high	
quebrantar	break	keep	break	3	https://es.wiktionary.org/wiki/quebrantar : romper una cosa con fuerza = break	high	chunk proposed "break apart" but all 3 confirm break; violate-law is secondary sense
racanear	skimp	keep	skimp	3	https://dle.rae.es/racanear : escatimar/ser racano con el dinero = skimp	high
radiotelegrafiar	radiotelegraph	keep	radiotelegraph	3	https://dle.rae.es/radiotelegrafiar : transmitir algo por radiotelegrafia	high
ramonear	browse	keep	browse	3	https://es.wiktionary.org/wiki/ramonear : animals eat leaf/branch tips = browse	high	browse (graze)
rarificar	rarefy	keep	rarefy	3	https://es.wiktionary.org/wiki/rarificar : transitive verb rarefy (make less dense)	high
rastrojar	clear stubble	keep	clear stubble	3	https://dle.rae.es/rastrojar : arrancar el rastrojo = clear stubble	high
rebañar	scrape clean	keep	scrape clean	3	https://es.wiktionary.org/wiki/rebañar : scrape/lick clean leftover food = scrape clean	high
rebordear	edge	keep	edge	3	https://dle.rae.es/rebordear : hacer o formar un reborde = edge	high
recalar	make landfall	keep	make landfall	3	https://es.wiktionary.org/wiki/recalar : buque llega a la vista de punto conocido = make landfall	high
recalificar	rezone	keep	rezone	2	https://dle.rae.es/recalificar : cambiar la calificacion urbanistica de un terreno = rezone	medium	rae+wikt back rezone; morph favors requalify (sense 1) but notes rezone is sense 2
recamar	embroider	keep	embroider	3	https://es.wiktionary.org/wiki/recamar : related to bordar = embroider	high
recatar	conceal	keep	conceal	3	https://es.wiktionary.org/wiki/recatar : impedir que algo se vea/perciba = conceal	high
recauchutar	retread	keep	retread	3	https://dle.rae.es/recauchutar : volver a cubrir de caucho un neumatico = retread	high
recidivar	relapse	keep	relapse	3	https://es.wiktionary.org/wiki/recidivar : repetirse una enfermedad = relapse	high	chunk proposed "recur" but all 3 keep relapse
recochinear	gloat	keep	gloat	3	https://dle.rae.es/recochinearse : burlarse con malicia / regodearse = gloat	medium
recomer	fret	keep	fret	3	https://es.wiktionary.org/wiki/recomer : molestia interior continuada que consume = fret	high
reconcomer	fret	keep	fret	3	https://es.wiktionary.org/wiki/reconcomer : reconcomerse = be consumed inwardly / fret	high
recuadrar	frame	keep	frame	3	https://es.wiktionary.org/wiki/recuadrar : cortar o dividir en cuadros = frame	high
redundar	result	replace	result in	3	https://es.wiktionary.org/wiki/redundar : resultar / venir a parar en beneficio o daño = result in	high
reenganchar	rehook	replace	reenlist	3	https://es.wiktionary.org/wiki/reenganchar : reengancharse en el ejercito = re-enlist	high	reenganchar(se) = reenlist
reensayar	rehearse	replace	rehearse again	3	https://dle.rae.es/reensayar : volver a ensayar = rehearse again	high
reflorecer	reflower	replace	bloom again	3	https://es.wiktionary.org/wiki/reflorecer : volver a echar flores = bloom again	high
refocilar	delight	keep	delight	3	https://es.wiktionary.org/wiki/refocilar : recrear / alegrar / causar deleite = delight	high	rae glossed revel; same coarse-delight sense
regodear	delight	keep	delight	3	https://es.wiktionary.org/wiki/regodear : regodearse = take delight	high	take delight
rehumedecer	remoisten	keep	remoisten	3	https://es.wiktionary.org/wiki/rehumedecer : humedecer de nuevo = remoisten	high
rehundir	sink	keep	sink	3	https://dle.rae.es/rehundir : hundir / sumergir a lo mas hondo = sink	high
rejonear	spear bull	keep	spear bull	3	https://es.wiktionary.org/wiki/rejonear : herir al toro con el rejon = spear bull	high
religar	rebind	keep	rebind	3	https://es.wiktionary.org/wiki/religar : volver a atar = rebind	high
remansar	pool	replace	form a pool	3	https://es.wiktionary.org/wiki/remansar : remansarse = water forming a still pool	high	current pool to terse form a pool; same sense
remorder	cause remorse	replace	gnaw at	3	https://es.wiktionary.org/wiki/remorder : la conciencia me remuerde = gnaws at	high
repatear	annoy	keep	annoy	3	https://dle.rae.es/repatear : fastidiar / molestar mucho = annoy	high
repeinar	recomb	replace	comb again	3	https://es.wiktionary.org/wiki/repeinar : re- + peinar = comb again	high
repescar	refish	replace	readmit	3	https://es.wiktionary.org/wiki/repescar : re-accept someone previously rejected (resit/recovery)	medium	rae/wikt/morph agree on readmit/resit sense, not literal fishing
resinar	tap resin	keep	tap resin	3	https://www.rae.es/drae2001/resinar : sacar resina a ciertos arboles haciendo incisiones	high	denominal resin-tapping confirmed
reverdecer	regreen	replace	turn green again	3	https://es.wiktionary.org/wiki/reverdecer : ponerse verde otra vez	high	all agree on becoming green again
sesear	lisp	replace	pronounce s for c	3	https://dle.rae.es/sesear : pronunciar z o c como s (seseo not lisp)	high	seseo not lisp
sobetear	paw	keep	paw	3	https://dle.rae.es/sobetear : sobar manosear (coloquial)	high	colloquial paw/grope confirmed
soflamar	scorch	keep	scorch	3	https://dle.rae.es/soflamar : tostarse requemarse con la llama	high
subvenir	defray	keep	defray	3	https://dle.rae.es/subvenir : ayudar a algo o costear sus gastos	high
sulfatar	sulfate	keep	sulfate	3	https://es.wiktionary.org/wiki/sulfatar : tratar/rociar con sulfato (agricultura)	high
sumariar	summarize	keep	summarize	3	https://es.wiktionary.org/wiki/sumario : formar sumario; compendiar/resumir	medium
superabundar	overabound	keep	overabound	3	everyday (3/3) : super- + abundar	high
sustantivar	nominalize	keep	nominalize	3	https://es.wiktionary.org/wiki/sustantivar : dar caracter y funcion de sustantivo	high
tabicar	wall up	keep	wall up	3	https://dle.rae.es/tabicar : cerrar con tabique un vano	high
tablear	plank	keep	plank	3	https://es.wiktionary.org/wiki/tablear : dividir un madero en tablas	high	current plank matches divide wood into boards
taconear	tap heels	keep	tap heels	3	https://es.wiktionary.org/wiki/taconear : pisar haciendo ruido con el tacon	high
tanguear	tango	keep	tango	3	everyday (3/3) : bailar tango (denominal)	medium
tapear	snack	keep	snack	3	https://es.wiktionary.org/wiki/tapear : eat tapas / ir de tapas	high	snack==eat tapas synonymous
taquigrafiar	stenograph	replace	write shorthand	3	https://es.wiktionary.org/wiki/taquigrafiar : write in shorthand	high	clearer terse form of stenograph
taracear	inlay	keep	inlay	3	https://es.wiktionary.org/wiki/taracear : decorate with marquetry inlay	high
tarar	tare	keep	tare	3	https://es.wiktionary.org/wiki/tarar : indicate tare weight	high
tarifar	price	keep	price	3	https://dle.rae.es/tarifar : set tariff or rates	medium	price/set rates same sense
tarjetear	card	replace	hand out cards	2	https://es.wiktionary.org/wiki/tarjetear : distribute promotional cards	medium	morph dissented (use credit card)
tartajear	stammer	keep	stammer	3	everyday (3/3) : stammer/stutter	high
tatarear	hum	keep	hum	3	https://es.wiktionary.org/wiki/tatarear : hum a tune	high
tecnificar	modernize	keep	modernize	3	https://dle.rae.es/tecnificar : introduce modern technical procedures	medium	mechanize/modernize same sense
temblequear	shiver	keep	shiver	3	everyday (3/3) : tremble/shiver	high
teologizar	theologize	keep	theologize	3	https://es.wiktionary.org/wiki/teologizar : discourse on theology	high
terraplenar	embank	keep	embank	3	https://es.wiktionary.org/wiki/terraplenar : fill with earth	high
tersar	smooth	keep	smooth	3	https://dle.rae.es/tersar : make smooth and glossy	high
testar	bequeath	replace	make a will	3	https://dle.rae.es/testar : hacer testamento make a will	high	testar=make a will, not bequeath
titularizar	tenure	keep	tenure	3	https://dle.rae.es/titularizar : grant titular permanent status	medium
toldar	awning	replace	cover with awning	3	https://dle.rae.es/toldar : cubrir con toldo	high	verb form not noun
tonsurar	tonsure	keep	tonsure	3	https://es.wiktionary.org/wiki/tonsurar : give the tonsure	high
tornasolar	iridesce	keep	iridesce	3	https://es.wiktionary.org/wiki/tornasolar:make iridescent	high
torrar	roast	keep	roast	3	https://es.wiktionary.org/wiki/torrar:tostar toast or roast	high
trajear	dress	keep	dress	3	https://es.wiktionary.org/wiki/trajear:dress someone in a suit	high
trapacear	cheat	keep	cheat	3	https://dle.rae.es/trapacear:deceive or defraud	medium	swindle sense also valid
trapichear	deal	keep	deal	3	https://dle.rae.es/trapichear:retail or trade in small quantities	high	petty/small-scale dealing
trashumar	migrate	keep	migrate	3	https://es.wiktionary.org/wiki/trashumar:seasonal livestock migration	high
trastabillar	stumble	keep	stumble	3	https://es.wiktionary.org/wiki/trastabillar:dar traspies stumble	high
tremolar	wave	keep	wave	3	https://es.wiktionary.org/wiki/tremolar:wave a flag in the air	high
trepanar	trepan	keep	trepan	3	https://es.wiktionary.org/wiki/trepanar:drill the skull	high
triptongar	triphthong	replace	form triphthong	3	https://es.wiktionary.org/wiki/triptongar:form a triphthong	high	all 3 checkers replace
trizar	shatter	keep	shatter	3	https://es.wiktionary.org/wiki/trizar:break into pieces	high
trompetear	trumpet	keep	trumpet	3	https://es.wiktionary.org/wiki/trompetear:play the trumpet	high
troquelar	stamp	keep	stamp	3	https://es.wiktionary.org/wiki/troquelar:stamp with a die	high
trovar	versify	keep	versify	3	https://es.wiktionary.org/wiki/trovar:write poetry	high
trufar	stuff	keep	stuff	3	https://es.wiktionary.org/wiki/trufar:stuff with truffles	high	all agree truffle sense; current stuff synonymous
tullir	cripple	keep	cripple	3	https://es.wiktionary.org/wiki/tullir:cause loss of limb movement	high
tundir	shear	keep	shear	3	https://es.wiktionary.org/wiki/tundir : recortar el pelo del paño (shear cloth)	high	textile sense; primary is beat
tupir	pack	keep	pack	3	https://es.wiktionary.org/wiki/tupir : llenar o cerrar poros apretándolo hacer denso (pack densely)	high	checkers refine to pack tight; same sense
uncir	yoke	keep	yoke	3	https://es.wiktionary.org/wiki/uncir : colocar el yugo a animales de tiro (yoke)	high
usufructuar	usufruct	keep	usufruct	3	https://es.wiktionary.org/wiki/usufructuar : exercise usufruct use property of another	high
vacar	be vacant	keep	be vacant	3	https://es.wiktionary.org/wiki/vacar : quedar un cargo sin persona (be vacant)	high
vaguear	loaf	keep	loaf	3	https://dle.rae.es/vaguear : coloquial holgazanear (loaf)	high
vampirizar	vampirize	keep	vampirize	3	https://dle.rae.es/vampirizar : abusar o aprovecharse (prey on; denominal vampirize)	medium
ventajear	outdo	keep	outdo	3	https://www.asale.org/damer/ventajear : sacar ventaja (gain advantage outdo)	high
ventear	air	keep	air	3	https://es.wiktionary.org/wiki/ventear : sacar o arrojar al viento (air out)	high
ventiscar	blizzard	keep	blizzard	3	https://es.wiktionary.org/wiki/ventiscar : nevar con viento fuerte (snow heavily with wind)	high
ventosear	pass wind	keep	pass wind	3	https://es.wiktionary.org/wiki/ventosear : expeler los gases del tracto digestivo (break wind)	high	break wind synonymous with pass wind
verdear	green	keep	green	3	https://es.wiktionary.org/wiki/verdear : mostrar el color verde volverse verde (turn green)	high	turn green synonymous with green
vetear	streak	keep	streak	3	https://es.wiktionary.org/wiki/vetear : pintar o hacer vetas (vein streak)	high
vidriar	glaze	keep	glaze	3	https://es.wiktionary.org/wiki/vidriar : aplicar barniz vidriado a cerámica (glaze)	high
virilizar	virilize	keep	virilize	3	https://es.wiktionary.org/wiki/virilizar : denominal viril + -izar (make virile)	high	uncertain+grounding satisfied by 3 cited URLs
xerografiar	xerograph	keep	xerograph	3	https://es.thefreedictionary.com/xerografiar : reproducir por medio de la xerografía (xerograph photocopy)	high	photocopy synonymous with xerograph
yermar	lay waste	keep	lay waste	3	https://es.wiktionary.org/wiki/yermar : dejar un terreno sin cultivar ni habitar	high
yodurar	iodize	keep	iodize	3	https://dle.rae.es/yodurar : someter a la accion del yoduro	high
yugular	stem	keep	stem	2	https://dle.rae.es/yugular : acabar bruscamente con una actividad o proceso (yugular una enfermedad)	medium	morph dissented for literal behead sense; fig stem confirmed by 2/3 with citations
zascandilear	bustle about	keep	bustle about	3	https://es.wiktionary.org/wiki/zascandilear : andar de un lado a otro sin hacer nada de provecho	high
zorrear	prowl	replace	act cunningly	3	https://dle.rae.es/zorrear : obrar con la cautela o la astucia propias del zorro	medium	all 3 agree fox-like cunning sense; current prowl is off
